race_id,year,round,circuit_id,name,date,season_round
1105,2023,7,4,Spanish Grand Prix,2023-06-04,2023_R07
1106,2023,8,7,Canadian Grand Prix,2023-06-18,2023_R08
1107,2023,9,70,Austrian Grand Prix,2023-07-02,2023_R09
1108,2023,10,9,British Grand Prix,2023-07-09,2023_R10
1109,2023,11,11,Hungarian Grand Prix,2023-07-23,2023_R11
1110,2023,12,13,Belgian Grand Prix,2023-07-30,2023_R12
1111,2023,13,39,Dutch Grand Prix,2023-08-27,2023_R13
1112,2023,14,14,Italian Grand Prix,2023-09-03,2023_R14
1113,2023,15,15,Singapore Grand Prix,2023-09-17,2023_R15
1114,2023,16,22,Japanese Grand Prix,2023-09-24,2023_R16
1115,2023,17,78,Qatar Grand Prix,2023-10-08,2023_R17
1116,2023,18,69,United States Grand Prix,2023-10-22,2023_R18
1117,2023,19,32,Mexico City Grand Prix,2023-10-29,2023_R19
1118,2023,20,18,São Paulo Grand Prix,2023-11-05,2023_R20
1119,2023,21,80,Las Vegas Grand Prix,2023-11-19,2023_R21
1120,2023,22,24,Abu Dhabi Grand Prix,2023-11-26,2023_R22
1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024_R01
1122,2024,2,77,Saudi Arabian Grand Prix,2024-03-09,2024_R02
1123,2024,3,1,Australian Grand Prix,2024-03-24,2024_R03
1124,2024,4,22,Japanese Grand Prix,2024-04-07,2024_R04
1125,2024,5,17,Chinese Grand Prix,2024-04-21,2024_R05
1126,2024,6,79,Miami Grand Prix,2024-05-05,2024_R06
1127,2024,7,21,Emilia Romagna Grand Prix,2024-05-19,2024_R07
1128,2024,8,6,Monaco Grand Prix,2024-05-26,2024_R08
1129,2024,9,7,Canadian Grand Prix,2024-06-09,2024_R09
1130,2024,10,4,Spanish Grand Prix,2024-06-23,2024_R10
1131,2024,11,70,Austrian Grand Prix,2024-06-30,2024_R11
1132,2024,12,9,British Grand Prix,2024-07-07,2024_R12
1133,2024,13,11,Hungarian Grand Prix,2024-07-21,2024_R13
1134,2024,14,13,Belgian Grand Prix,2024-07-28,2024_R14
1135,2024,15,39,Dutch Grand Prix,2024-08-25,2024_R15
1136,2024,16,14,Italian Grand Prix,2024-09-01,2024_R16
1137,2024,17,73,Azerbaijan Grand Prix,2024-09-15,2024_R17
1138,2024,18,15,Singapore Grand Prix,2024-09-22,2024_R18
1139,2024,19,69,United States Grand Prix,2024-10-20,2024_R19
1140,2024,20,32,Mexico City Grand Prix,2024-10-27,2024_R20
1141,2024,21,18,São Paulo Grand Prix,2024-11-03,2024_R21
1142,2024,22,80,Las Vegas Grand Prix,2024-11-23,2024_R22
1143,2024,23,78,Qatar Grand Prix,2024-12-01,2024_R23
1144,2024,24,24,Abu Dhabi Grand Prix,2024-12-08,2024_R24
